1 -2 -2 2 -4
2 -4 -2 2 -6
4 -8 -2 2 -10
5 20 28 30 -10
6 28 8 38 -10
7 28 0 40 -12
8 32 4 44 -12
9 36 4 48 -12
11 42 3 54 -12
12 62 20 74 -12
13 68 6 84 -16
14 124 56 142 -18
15 132 8 150 -18
16 142 10 164 -22
17 150 8 174 -24
19 156 3 180 -24
20 166 10 192 -26
21 168 2 194 -26
22 290 122 320 -30
23 292 2 326 -34
24 292 0 328 -36
26 294 1 332 -38
28 292 -1 334 -42
29 294 2 336 -42
30 336 42 386 -50
31 334 -2 386 -52
32 336 2 388 -52
33 344 8 396 -52
34 350 6 402 -52
36 358 4 410 -52
37 362 4 414 -52
39 362 0 430 -68
40 396 34 470 -74
41 400 4 474 -74
42 408 8 484 -76
43 536 128 620 -84
44 534 -2 620 -86
45 556 22 642 -86
47 560 2 648 -88
48 562 2 652 -90
49 564 2 654 -90
50 570 6 662 -92
51 568 -2 662 -94
52 566 -2 662 -96
53 572 6 668 -96
54 580 8 678 -98
55 584 4 682 -98
56 588 4 690 -102
57 612 24 718 -106
58 626 14 732 -106
59 800 174 908 -108
60 866 66 978 -112
61 864 -2 980 -116
62 866 2 982 -116
63 870 4 986 -116
65 868 -1 986 -118
66 880 12 1018 -138
68 884 2 1022 -138
69 888 4 1032 -144
70 896 8 1040 -144
71 898 2 1048 -150
72 900 2 1062 -162
74 898 -1 1064 -166
75 914 16 1082 -168
76 1012 98 1180 -168
77 1268 256 1440 -172
78 1308 40 1482 -174
79 1352 44 1526 -174
80 1366 14 1540 -174
81 1374 8 1550 -176
82 1378 4 1558 -180
83 1382 4 1562 -180
84 1384 2 1564 -180
87 1386 0.6666666666666666 1566 -180
88 1388 2 1568 -180
89 1392 4 1574 -182
91 1394 1 1576 -182
92 1464 70 1648 -184
93 1488 24 1672 -184
94 1492 4 1676 -184
95 1492 0 1678 -186
96 1502 10 1688 -186
97 1512 10 1698 -186
98 1518 6 1704 -186
99 1522 4 1710 -188
101 1532 5 1720 -188
102 1528 -4 1730 -202
103 1536 8 1738 -202
104 1538 2 1740 -202
105 1542 4 1748 -206
106 1546 4 1752 -206
107 1556 10 1766 -210
108 1568 12 1836 -268
109 1574 6 1842 -268
110 1580 6 1848 -268
112 1592 6 1860 -268
113 1586 -6 1860 -274
114 1590 4 1864 -274
115 1594 4 1870 -276
116 1598 4 1878 -280
117 1642 44 1922 -280
118 1886 244 2174 -288
119 2132 246 2420 -288
120 2136 4 2424 -288
121 2144 8 2438 -294
122 2090 -54 2498 -408
123 2108 18 2538 -430
124 2150 42 2588 -438
125 2156 6 2596 -440
126 2156 0 2600 -444
129 2168 4 2612 -444
130 2170 2 2614 -444
131 2172 2 2616 -444
132 2186 14 2630 -444
133 2190 4 2634 -444
134 2194 4 2646 -452
135 2234 40 2690 -456
136 2248 14 2704 -456
137 2374 126 2836 -462
138 2372 -2 2836 -464
139 2386 14 2850 -464
140 2388 2 2852 -464
141 2390 2 2854 -464
142 2396 6 2860 -464
143 2398 2 2862 -464
145 2420 11 2884 -464
146 2506 86 2972 -466
147 2512 6 2978 -466
148 2510 -2 2978 -468
150 2540 15 3010 -470
151 2542 2 3012 -470
155 2544 0.5 3014 -470
157 2550 3 3020 -470
158 2552 2 3022 -470
161 2548 -1.3333333333333333 3022 -474
162 2550 2 3024 -474
163 2550 0 3036 -486
165 2554 2 3040 -486
166 2562 8 3048 -486
167 2570 8 3058 -488
168 2578 8 3066 -488
169 2580 2 3068 -488
170 2590 10 3078 -488
171 2736 146 3224 -488
172 2784 48 3272 -488
173 2786 2 3274 -488
174 2798 12 3286 -488
175 2800 2 3288 -488
176 2802 2 3290 -488
178 2806 2 3294 -488
179 2808 2 3296 -488
181 2812 2 3300 -488
187 2814 0.3333333333333333 3302 -488
188 2818 4 3308 -490
189 2820 2 3310 -490
